height,weight,label
196,81,normal
177,62,normal
176,45,thin
135,61,fat
168,87,fat
135,43,normal
162,97,fat
188,35,thin
189,49,thin
156,55,normal
191,42,thin
151,49,normal
172,48,thin
141,78,fat
152,86,fat
126,51,fat
144,86,fat
175,76,normal
179,79,normal
147,94,fat
161,68,fat
164,88,fat
178,43,thin
155,80,fat
144,91,fat
124,59,fat
198,90,normal
189,53,thin
197,55,thin
169,97,fat
159,83,fat
164,59,normal
158,96,fat
125,43,fat
200,50,thin
120,47,fat
159,96,fat
175,80,fat
172,99,fat
169,70,normal
177,35,thin
175,94,fat
154,80,fat
164,51,normal
174,35,thin
134,65,fat
130,76,fat
181,69,normal
170,86,fat
151,78,fat
193,38,thin
147,93,fat
127,46,fat
173,57,normal
147,71,fat
166,83,fat
127,50,fat
122,100,fat
167,91,fat
159,47,normal
137,65,fat
147,58,fat
139,66,fat
175,58,normal
123,86,fat
163,55,normal
137,92,fat
180,72,normal
161,88,fat
187,59,thin
161,44,thin
184,47,thin
179,48,thin
176,80,fat
132,97,fat
151,35,thin
178,50,thin
179,59,thin
194,88,normal
199,52,thin
134,82,fat
128,74,fat
175,48,thin
179,66,normal
145,100,fat
181,37,thin
132,74,fat
198,59,thin
135,52,fat
131,39,normal
149,40,thin
133,80,fat
167,91,fat
128,86,fat
132,37,normal
123,71,fat
176,82,fat
130,85,fat
196,48,thin
152,55,normal
194,81,normal
139,99,fat
160,59,normal
130,60,fat
125,61,fat
184,47,thin
147,47,normal
123,65,fat
137,50,fat
126,35,normal
194,56,thin
174,79,fat
194,92,normal
184,94,fat
129,66,fat
127,79,fat
153,95,fat
197,53,thin
170,84,fat
168,93,fat
191,96,fat
146,77,fat
156,92,fat
151,70,fat
128,52,fat
148,51,normal
151,73,fat
187,66,normal
172,35,thin
195,71,normal
144,48,normal
189,83,normal
174,56,thin
173,42,thin
161,35,thin
193,63,thin
180,39,thin
150,94,fat
187,65,normal
177,88,fat
134,54,fat
165,93,fat
142,96,fat
169,92,fat
171,35,thin
169,93,fat
160,50,normal
190,79,normal
137,38,normal
173,99,fat
122,85,fat
140,77,fat
148,46,normal
188,75,normal
194,42,thin
140,47,normal
181,53,thin
179,91,fat
196,63,thin
138,70,fat
132,87,fat
124,38,normal
183,42,thin
121,77,fat
165,99,fat
189,67,normal
187,45,thin
122,52,fat
196,93,normal
149,72,fat
163,94,fat
127,82,fat
193,94,fat
172,71,normal
183,46,thin
190,96,fat
190,51,thin
186,52,thin
149,67,fat
162,35,thin
181,35,thin
152,85,fat
184,36,thin
127,89,fat
172,44,thin
124,93,fat
180,51,thin
171,92,fat
152,95,fat
175,54,thin
164,47,thin
199,79,normal
133,38,normal
157,79,fat
125,40,fat
156,65,fat
135,57,fat
169,90,fat
181,45,thin
125,98,fat
145,56,fat
166,56,normal
176,81,fat
150,86,fat
174,85,fat
164,55,normal
200,81,normal
180,47,thin
154,36,thin
154,65,fat
198,95,normal
143,44,normal
164,47,thin
171,55,normal
150,42,normal
142,83,fat
152,65,fat
188,80,normal
137,56,fat
131,93,fat
156,50,normal
196,91,normal
188,66,normal
163,72,fat
172,68,normal
158,64,fat
175,77,fat
151,71,fat
157,91,fat
125,59,fat
161,40,thin
181,81,normal
153,59,fat
161,85,fat
154,38,thin
187,73,normal
164,68,fat
180,35,thin
135,86,fat
176,91,fat
194,42,thin
190,52,thin
143,88,fat
187,65,normal
170,56,normal
187,76,normal
137,53,fat
192,57,thin
128,66,fat
196,47,thin
191,87,normal
198,47,thin
192,99,fat
134,57,fat
177,71,normal
121,42,fat
137,47,fat
178,75,normal
140,53,fat
130,79,fat
131,63,fat
180,60,normal
122,63,fat
137,94,fat
133,42,normal
147,90,fat
147,49,normal
196,56,thin
139,36,normal
164,91,fat
129,40,normal
146,56,fat
130,49,fat
190,37,thin
182,43,thin
157,92,fat
171,62,normal
191,47,thin
155,92,fat
128,52,fat
147,53,normal
177,82,fat
120,62,fat
163,89,fat
174,82,fat
133,85,fat
125,40,fat
120,76,fat
163,61,normal
191,95,fat
197,36,thin
134,37,normal
189,75,normal
144,42,normal
126,78,fat
193,43,thin
124,55,fat
155,83,fat
121,53,fat
145,50,normal
169,52,thin
191,47,thin
198,73,normal
199,88,normal
160,61,normal
165,99,fat
179,91,fat
146,77,fat
194,46,thin
182,97,fat
179,50,thin
135,52,fat
187,58,thin
167,58,normal
126,70,fat
184,35,thin
198,68,thin
179,59,thin
160,35,thin
135,100,fat
173,95,fat
163,68,fat
137,47,fat
155,89,fat
129,90,fat
192,85,normal
139,96,fat
198,48,thin
156,98,fat
149,67,fat
127,52,fat
186,42,thin
151,46,normal
131,66,fat
124,59,fat
188,38,thin
143,62,fat
176,48,thin
180,83,fat
166,88,fat
162,86,fat
186,84,normal
190,72,normal
131,96,fat
190,35,thin
165,99,fat
188,46,thin
166,41,thin
148,64,fat
194,94,normal
124,40,fat
194,96,fat
134,75,fat
168,81,fat
162,57,normal
154,53,normal
127,59,fat
190,71,normal
198,97,normal
182,47,thin
181,59,thin
197,89,normal
134,64,fat
165,45,thin
168,46,thin
122,35,normal
137,82,fat
137,73,fat
157,78,fat
170,84,fat
184,83,normal
149,60,fat
184,83,normal
150,92,fat
174,58,normal
129,99,fat
174,45,thin
123,86,fat
191,48,thin
171,87,fat
125,37,normal
186,82,normal
174,41,thin
165,69,fat
155,42,thin
181,91,fat
192,38,thin
130,43,fat
182,51,thin
134,51,fat
129,61,fat
131,35,normal
186,60,thin
133,44,normal
152,94,fat
192,96,fat
141,66,fat
141,79,fat
148,55,fat
196,81,normal
179,90,fat
152,80,fat
194,75,normal
124,67,fat
192,72,normal
200,98,normal
186,66,normal
159,91,fat
127,43,fat
155,94,fat
126,63,fat
129,64,fat
158,88,fat
170,94,fat
164,54,normal
161,79,fat
134,53,fat
189,74,normal
147,93,fat
162,96,fat
195,74,normal
161,75,fat
172,72,normal
120,53,fat
155,45,normal
128,83,fat
198,92,normal
135,39,normal
178,93,fat
172,63,normal
155,50,normal
136,83,fat
142,56,fat
160,92,fat
185,36,thin
168,96,fat
196,41,thin
129,76,fat
135,98,fat
152,57,normal
154,81,fat
156,83,fat
148,92,fat
140,47,normal
188,49,thin
169,91,fat
124,59,fat
184,62,thin
188,40,thin
155,56,normal
195,38,thin
170,38,thin
194,90,normal
152,98,fat
177,83,fat
172,90,fat
196,55,thin
167,55,normal
197,36,thin
184,89,fat
173,78,fat
174,45,thin
147,42,normal
157,46,normal
186,78,normal
129,72,fat
131,96,fat
177,57,thin
140,71,fat
170,99,fat
141,38,normal
150,62,fat
151,85,fat
194,59,thin
189,53,thin
121,44,fat
148,89,fat
140,44,normal
153,44,normal
176,63,normal
186,80,normal
194,39,thin
183,88,fat
146,36,thin
164,51,normal
161,39,thin
163,84,fat
158,49,normal
196,53,thin
160,38,thin
145,98,fat
196,68,thin
123,75,fat
123,65,fat
198,96,normal
121,86,fat
162,99,fat
143,67,fat
196,67,thin
184,42,thin
159,87,fat
192,83,normal
193,44,thin
139,72,fat
135,90,fat
175,61,normal
145,95,fat
168,49,thin
181,75,normal
132,35,normal
135,64,fat
151,93,fat
138,48,fat
149,80,fat
125,42,fat
195,49,thin
198,48,thin
147,93,fat
132,74,fat
164,47,thin
155,89,fat
123,74,fat
123,44,fat
143,48,normal
185,69,normal
135,37,normal
138,50,fat
159,89,fat
140,60,fat
151,38,thin
166,60,normal
162,74,fat
174,96,fat
160,56,normal
147,38,thin
184,84,normal
193,88,normal
135,37,normal
125,38,normal
127,39,normal
197,43,thin
150,74,fat
125,71,fat
183,81,normal
149,83,fat
200,95,normal
126,54,fat
161,91,fat
199,55,thin
152,69,fat
181,37,thin
131,38,normal
154,80,fat
142,38,normal
123,93,fat
147,92,fat
173,35,thin
187,93,fat
184,41,thin
145,56,fat
129,40,normal
133,77,fat
198,40,thin
147,93,fat
188,75,normal
179,76,normal
181,43,thin
191,85,normal
135,58,fat
165,81,fat
120,95,fat
173,98,fat
178,37,thin
133,96,fat
137,61,fat
125,86,fat
143,98,fat
167,36,thin
137,54,fat
193,78,normal
131,69,fat
197,81,normal
167,70,fat
135,57,fat
130,50,fat
163,76,fat
152,39,thin
142,76,fat
124,82,fat
175,70,normal
171,100,fat
178,50,thin
133,68,fat
137,62,fat
151,72,fat
170,89,fat
178,85,fat
130,42,normal
177,66,normal
178,36,thin
179,98,fat
188,41,thin
167,54,normal
179,70,normal
157,85,fat
134,36,normal
152,71,fat
131,68,fat
139,48,normal
170,50,thin
183,99,fat
184,40,thin
129,74,fat
190,54,thin
189,93,fat
176,39,thin
168,45,thin
186,84,normal
176,56,thin
188,64,thin
161,61,normal
171,58,normal
129,77,fat
200,56,thin
129,99,fat
121,60,fat
194,47,thin
133,51,fat
181,37,thin
161,63,normal
127,52,fat
123,66,fat
121,68,fat
168,85,fat
122,78,fat
129,41,normal
147,95,fat
166,89,fat
147,96,fat
163,67,fat
131,90,fat
155,57,normal
136,48,fat
158,42,thin
153,88,fat
131,77,fat
155,75,fat
124,81,fat
176,63,normal
157,89,fat
125,78,fat
130,37,normal
150,45,normal
157,77,fat
158,80,fat
137,78,fat
143,65,fat
140,84,fat
127,41,fat
141,63,fat
182,74,normal
130,83,fat
145,94,fat
127,99,fat
131,80,fat
148,71,fat
200,99,normal
139,61,fat
191,74,normal
174,83,fat
172,82,fat
137,99,fat
141,65,fat
167,39,thin
184,77,normal
194,80,normal
196,66,thin
129,94,fat
153,81,fat
123,40,fat
182,38,thin
155,48,normal
128,63,fat
177,44,thin
196,68,thin
120,82,fat
197,77,normal
163,69,fat
191,47,thin
181,84,fat
180,82,fat
164,47,thin
159,81,fat
125,85,fat
164,75,fat
166,88,fat
184,66,normal
150,96,fat
160,89,fat
135,72,fat
127,72,fat
153,72,fat
184,58,thin
164,76,fat
126,37,normal
178,81,fat
166,76,fat
185,53,thin
180,41,thin
133,83,fat
132,76,fat
159,38,thin
147,78,fat
173,72,normal
184,71,normal
198,45,thin
149,45,normal
134,63,fat
170,38,thin
190,68,normal
159,63,normal
173,40,thin
179,76,normal
189,58,thin
160,68,fat
149,98,fat
127,75,fat
189,82,normal
156,40,thin
148,43,normal
160,90,fat
163,72,fat
151,68,fat
183,55,thin
199,82,normal
124,76,fat
164,60,normal
126,96,fat
149,55,normal
127,91,fat
192,85,normal
189,82,normal
195,75,normal
144,79,fat
197,40,thin
159,49,normal
193,88,normal
140,66,fat
138,79,fat
171,67,normal
169,44,thin
151,88,fat
199,39,thin
195,75,normal
178,40,thin
134,61,fat
150,73,fat
161,66,fat
200,67,thin
141,38,normal
133,52,fat
120,98,fat
182,61,thin
142,100,fat
128,93,fat
179,86,fat
187,42,thin
136,64,fat
125,53,fat
146,91,fat
170,46,thin
162,90,fat
182,60,thin
151,78,fat
169,54,normal
159,87,fat
187,74,normal
130,62,fat
120,44,fat
197,51,thin
144,65,fat
151,52,normal
177,52,thin
138,60,fat
155,61,fat
133,86,fat
121,38,fat
166,57,normal
125,39,normal
139,70,fat
134,47,fat
167,49,thin
195,77,normal
195,70,thin
173,61,normal
176,57,thin
137,96,fat
132,64,fat
147,47,normal
166,95,fat
175,78,fat
185,48,thin
147,52,normal
169,86,fat
140,78,fat
130,89,fat
137,45,normal
194,78,normal
132,69,fat
195,74,normal
141,65,fat
183,41,thin
148,87,fat
122,85,fat
144,60,fat
160,57,normal
193,53,thin
167,72,fat
170,59,normal
200,38,thin
186,70,normal
168,77,fat
190,90,normal
151,44,normal
144,63,fat
172,60,normal
141,46,normal
168,69,normal
130,81,fat
132,40,normal
194,44,thin
128,47,fat
157,89,fat
153,79,fat
193,52,thin
140,71,fat
134,76,fat
128,46,fat
163,69,fat
146,44,normal
143,83,fat
144,66,fat
176,46,thin
168,84,fat
193,67,thin
147,65,fat
145,76,fat
173,78,fat
149,35,thin
139,72,fat
147,72,fat
121,52,fat
157,75,fat
192,64,thin
200,55,thin
125,65,fat
135,72,fat
187,76,normal
129,86,fat
197,92,normal
170,56,normal
191,89,normal
194,100,fat
188,89,fat
173,71,normal
135,62,fat
158,46,thin
199,74,normal
162,89,fat
152,62,fat
126,36,normal
182,54,thin
143,74,fat
153,81,fat
128,43,fat
164,54,normal
183,43,thin
181,41,thin
179,60,normal
149,77,fat
167,46,thin
175,87,fat
195,77,normal
130,64,fat
129,80,fat
175,74,normal
182,91,fat
131,70,fat
151,83,fat
136,67,fat
136,62,fat
170,95,fat
189,84,normal
171,86,fat
136,63,fat
160,81,fat
166,98,fat
184,83,normal
137,48,fat
155,96,fat
194,80,normal
166,36,thin
134,74,fat
199,78,normal
147,53,normal
145,83,fat
135,84,fat
139,57,fat
174,96,fat
147,51,normal
139,73,fat
120,45,fat
154,77,fat
174,47,thin
197,66,thin
127,70,fat
128,35,normal
197,68,thin
192,50,thin
135,61,fat
132,71,fat
186,82,normal
130,55,fat
160,64,normal
186,91,fat
153,70,fat
188,93,fat
196,66,thin
160,88,fat
175,89,fat
137,60,fat
123,84,fat
120,89,fat
156,91,fat
145,66,fat
190,66,thin
154,64,fat
139,54,fat
198,65,thin
163,41,thin
122,58,fat
142,58,fat
130,73,fat
173,92,fat
141,60,fat
147,46,normal
127,93,fat
169,63,normal
123,86,fat
181,66,normal
134,48,fat
199,42,thin
171,72,normal
144,56,fat
160,75,fat
126,36,normal
141,72,fat
155,82,fat
133,56,fat
134,98,fat
125,45,fat
148,56,fat
148,57,fat
164,73,fat
160,74,fat
161,94,fat
198,45,thin
188,52,thin
147,46,normal
197,71,thin
135,77,fat
151,63,fat
143,74,fat
180,49,thin
197,83,normal
153,58,normal
194,44,thin
147,97,fat
124,75,fat
176,44,thin
157,80,fat
192,58,thin
157,47,normal
149,60,fat
148,71,fat
129,80,fat
165,94,fat
177,98,fat
149,55,normal
198,47,thin
185,56,thin
192,78,normal
143,54,fat
171,78,fat
157,87,fat
178,91,fat
184,69,normal
121,70,fat
166,66,normal
157,68,fat
128,69,fat
166,96,fat
194,57,thin
199,44,thin
162,73,fat
170,97,fat
125,36,normal
170,87,fat
156,84,fat
131,83,fat
149,70,fat
193,99,fat
173,84,fat
161,43,thin
196,81,normal
169,79,fat
182,78,normal
150,93,fat
147,77,fat
122,77,fat
135,82,fat
142,38,normal
162,86,fat
147,86,fat
140,84,fat
122,56,fat
143,50,normal
180,59,thin
175,95,fat
156,61,fat
194,50,thin
189,56,thin
193,36,thin
157,62,fat
183,49,thin
199,66,thin
150,44,normal
124,71,fat
171,99,fat
121,91,fat
194,55,thin
133,60,fat
139,75,fat
189,48,thin
145,83,fat
124,55,fat
171,86,fat
181,43,thin
138,73,fat
131,84,fat
149,82,fat
161,81,fat
167,67,normal
180,39,thin
196,78,normal
155,36,thin
133,88,fat
130,88,fat
186,42,thin
196,89,normal
171,65,normal
194,85,normal
123,43,fat
144,52,fat
127,75,fat
128,59,fat
130,83,fat
199,37,thin
192,80,normal
130,35,normal
124,49,fat
169,78,fat
161,85,fat
124,43,fat
146,63,fat
180,86,fat
198,59,thin
184,43,thin
170,85,fat
155,99,fat
127,53,fat
185,88,fat
183,59,thin
134,83,fat
199,78,normal
135,79,fat
126,92,fat
196,95,normal
181,83,fat
158,68,fat
125,41,fat
125,66,fat
192,77,normal
141,62,fat
174,64,normal
198,89,normal
142,61,fat
198,87,normal
193,65,thin
194,44,thin
186,97,fat
148,37,thin
174,95,fat
175,88,fat
143,68,fat
123,40,fat
139,52,fat
173,40,thin
175,89,fat
125,57,fat
165,46,thin
180,77,normal
172,71,normal
151,63,fat
166,97,fat
143,43,normal
176,91,fat
128,100,fat
156,70,fat
175,42,thin
144,95,fat
195,69,thin
173,86,fat
163,63,normal
166,94,fat
155,82,fat
197,63,thin
131,53,fat
173,69,normal
154,51,normal
163,87,fat
129,44,fat
170,67,normal
152,77,fat
138,72,fat
174,98,fat
189,51,thin
155,80,fat
157,98,fat
131,76,fat
121,62,fat
151,36,thin
168,44,thin
170,57,normal
194,88,normal
192,93,fat
199,40,thin
162,91,fat
138,84,fat
132,81,fat
175,43,thin
149,68,fat
125,51,fat
192,66,thin
143,62,fat
176,45,thin
129,56,fat
162,39,thin
190,37,thin
151,36,thin
180,72,normal
185,63,thin
158,70,fat
190,79,normal
122,71,fat
142,69,fat
121,47,fat
170,37,thin
179,56,thin
182,72,normal
157,69,fat
169,65,normal
176,37,thin
140,69,fat
179,87,fat
176,80,fat
162,46,thin
142,63,fat
190,43,thin
180,76,normal
144,80,fat
154,93,fat
154,93,fat
191,71,normal
157,75,fat
161,67,fat
199,60,thin
130,76,fat
174,81,fat
146,93,fat
129,75,fat
160,36,thin
150,93,fat
174,100,fat
144,39,normal
127,99,fat
185,84,normal
198,98,normal
191,72,normal
149,76,fat
193,77,normal
194,99,fat
196,80,normal
192,48,thin
186,55,thin
170,38,thin
199,92,normal
124,78,fat
188,57,thin
162,84,fat
124,57,fat
138,94,fat
150,56,normal
155,57,normal
199,79,normal
129,60,fat
198,49,thin
139,55,fat
124,84,fat
155,50,normal
197,72,normal
194,59,thin
167,67,normal
177,50,thin
185,46,thin
136,100,fat
164,49,thin
161,75,fat
173,81,fat
126,62,fat
197,49,thin
199,61,thin
177,36,thin
170,42,thin
124,49,fat
176,48,thin
132,76,fat
153,94,fat
182,62,normal
196,58,thin
168,41,thin
130,47,fat
136,40,normal
159,40,thin
154,84,fat
157,87,fat
199,63,thin
200,69,thin
120,46,fat
150,51,normal
126,60,fat
143,53,fat
200,88,normal
176,82,fat
155,35,thin
146,69,fat
142,83,fat
124,54,fat
132,61,fat
187,99,fat
181,71,normal
167,68,normal
166,42,thin
169,76,fat
169,76,fat
128,50,fat
180,87,fat
152,99,fat
180,67,normal
128,91,fat
175,54,thin
169,69,normal
178,85,fat
181,50,thin
134,91,fat
120,69,fat
133,94,fat
176,80,fat
166,48,thin
148,48,normal
141,77,fat
163,44,thin
176,70,normal
160,64,normal
166,55,normal
189,61,thin
179,96,fat
199,44,thin
151,99,fat
145,41,normal
155,50,normal
130,35,normal
140,43,normal
195,83,normal
189,41,thin
197,70,thin
140,96,fat
134,55,fat
163,99,fat
121,94,fat
186,50,thin
168,67,normal
141,72,fat
195,58,thin
176,63,normal
156,98,fat
123,56,fat
150,56,normal
173,38,thin
184,41,thin
141,91,fat
158,69,fat
174,64,normal
190,71,normal
145,92,fat
131,40,normal
197,99,fat
121,59,fat
121,63,fat
121,41,fat
156,57,normal
143,43,normal
152,91,fat
170,88,fat
157,39,thin
176,42,thin
158,75,fat
135,68,fat
155,41,thin
160,97,fat
172,96,fat
145,96,fat
164,85,fat
163,55,normal
185,92,fat
192,76,normal
131,87,fat
154,36,thin
124,51,fat
173,95,fat
179,46,thin
186,96,fat
149,100,fat
162,82,fat
180,63,normal
127,58,fat
125,82,fat
160,94,fat
122,63,fat
188,74,normal
161,62,normal
195,79,normal
163,47,thin
138,55,fat
185,73,normal
169,41,thin
179,45,thin
127,54,fat
184,88,fat
175,88,fat
176,38,thin
164,66,normal
197,35,thin
120,58,fat
156,95,fat
187,57,thin
132,79,fat
132,40,normal
126,63,fat
190,35,thin
159,83,fat
128,57,fat
143,55,fat
169,95,fat
134,76,fat
173,98,fat
154,54,normal
194,72,normal
192,74,normal
194,48,thin
153,50,normal
127,61,fat
161,35,thin
198,69,thin
136,60,fat
122,44,fat
148,57,fat
143,89,fat
148,85,fat
191,77,normal
196,53,thin
170,87,fat
170,68,normal
123,43,fat
177,42,thin
189,44,thin
174,51,thin
200,77,normal
169,72,fat
173,43,thin
135,54,fat
148,35,thin
144,54,fat
127,68,fat
184,90,fat
192,96,fat
133,48,fat
153,89,fat
167,38,thin
127,96,fat
129,55,fat
191,35,thin
140,54,fat
121,48,fat
193,49,thin
191,41,thin
142,39,normal
130,83,fat
190,69,normal
187,69,normal
150,51,normal
161,97,fat
163,81,fat
151,99,fat
183,69,normal
198,55,thin
175,92,fat
127,71,fat
170,38,thin
173,98,fat
196,48,thin
160,91,fat
126,54,fat
148,88,fat
161,83,fat
182,80,normal
157,89,fat
177,98,fat
126,86,fat
122,77,fat
168,100,fat
136,81,fat
186,100,fat
195,44,thin
133,40,normal
158,93,fat
120,87,fat
191,80,normal
185,35,thin
170,89,fat
196,65,thin
121,74,fat
139,60,fat
168,62,normal
146,89,fat
161,55,normal
142,41,normal
153,56,normal
177,91,fat
198,83,normal
193,94,fat
154,83,fat
180,77,normal
196,53,thin
174,40,thin
146,85,fat
136,74,fat
188,53,thin
199,49,thin
127,89,fat
163,53,normal
168,35,thin
164,69,fat
124,61,fat
157,45,thin
134,63,fat
169,37,thin
192,39,thin
193,38,thin
141,62,fat
158,50,normal
126,45,fat
146,86,fat
198,38,thin
151,72,fat
194,48,thin
186,62,thin
165,47,thin
125,41,fat
157,94,fat
138,93,fat
171,68,normal
145,56,fat
190,94,fat
149,74,fat
188,89,fat
146,88,fat
150,78,fat
132,91,fat
162,61,normal
120,36,fat
175,100,fat
184,42,thin
146,83,fat
175,89,fat
190,73,normal
134,63,fat
187,79,normal
154,90,fat
200,77,normal
139,92,fat
154,46,normal
123,40,fat
158,47,normal
145,97,fat
179,74,normal
127,89,fat
167,55,normal
169,87,fat
187,97,fat
130,39,normal
122,54,fat
178,84,fat
197,96,normal
170,61,normal
165,78,fat
147,43,normal
187,64,thin
154,88,fat
182,92,fat
195,95,normal
176,56,thin
155,56,normal
179,70,normal
155,63,fat
142,36,thin
184,44,thin
180,53,thin
125,79,fat
146,94,fat
134,87,fat
181,58,thin
200,88,normal
145,95,fat
176,36,thin
187,89,fat
147,46,normal
147,43,normal
130,66,fat
159,65,fat
128,97,fat
199,56,thin
161,36,thin
161,68,fat
147,78,fat
176,59,normal
129,98,fat
153,58,normal
156,100,fat
142,48,normal
137,80,fat
141,50,fat
154,43,thin
141,51,fat
158,46,thin
180,85,fat
155,91,fat
185,85,normal
154,37,thin
150,50,normal
185,58,thin
135,49,fat
134,48,fat
122,54,fat
153,63,fat
159,49,normal
181,66,normal
124,58,fat
150,92,fat
178,45,thin
178,59,normal
136,91,fat
120,64,fat
186,93,fat
196,38,thin
155,59,normal
151,73,fat
180,69,normal
160,90,fat
141,89,fat
194,40,thin
190,90,normal
134,41,normal
182,95,fat
142,50,normal
153,59,fat
193,97,fat
169,49,thin
156,82,fat
155,84,fat
183,50,thin
165,59,normal
136,35,normal
170,56,normal
189,42,thin
200,45,thin
180,74,normal
158,76,fat
174,86,fat
189,58,thin
163,74,fat
156,80,fat
182,43,thin
166,66,normal
188,82,normal
177,75,normal
179,69,normal
171,88,fat
161,41,thin
178,70,normal
193,45,thin
135,84,fat
143,63,fat
181,74,normal
169,68,normal
156,40,thin
185,63,thin
135,67,fat
175,71,normal
145,76,fat
191,91,normal
159,41,thin
134,86,fat
125,72,fat
171,73,normal
188,92,fat
147,39,thin
160,86,fat
194,59,thin
122,97,fat
123,61,fat
154,85,fat
130,84,fat
198,76,normal
198,54,thin
122,58,fat
161,63,normal
146,49,normal
198,99,fat
179,38,thin
158,68,fat
137,68,fat
152,58,fat
182,42,thin
125,86,fat
128,38,normal
177,92,fat
120,56,fat
190,82,normal
182,55,thin
176,63,normal
195,47,thin
133,68,fat
151,68,fat
196,48,thin
175,46,thin
184,46,thin
196,77,normal
179,70,normal
178,48,thin
131,81,fat
140,90,fat
167,56,normal
157,99,fat
122,43,fat
152,62,fat
175,60,normal
197,99,fat
169,68,normal
162,83,fat
170,85,fat
139,72,fat
182,50,thin
193,67,thin
177,53,thin
192,73,normal
123,63,fat
142,77,fat
181,85,fat
127,76,fat
120,41,fat
180,84,fat
186,82,normal
181,70,normal
196,45,thin
171,83,fat
184,35,thin
177,49,thin
200,76,normal
197,72,normal
180,49,thin
154,88,fat
123,87,fat
150,50,normal
172,86,fat
199,90,normal
155,40,thin
120,80,fat
196,40,thin
177,86,fat
136,58,fat
181,81,normal
195,54,thin
155,55,normal
160,35,thin
130,70,fat
180,66,normal
182,97,fat
120,99,fat
139,80,fat
167,36,thin
165,53,normal
200,79,normal
197,37,thin
122,78,fat
141,43,normal
200,76,normal
172,90,fat
136,40,normal
136,78,fat
138,78,fat
195,89,normal
123,52,fat
200,45,thin
125,76,fat
158,36,thin
163,75,fat
158,41,thin
150,97,fat
171,70,normal
143,57,fat
159,57,normal
171,92,fat
134,80,fat
143,44,normal
127,92,fat
